season,zone,LST_C
Winter,Urban,29.887000000000036
Winter,Urban,31.095000000000034
Winter,Urban,32.050500000000035
Winter,Urban,32.60700000000003
Winter,Urban,32.96250000000003
Winter,Urban,32.95900000000003
Winter,Urban,31.906000000000027
Winter,Urban,31.622000000000032
Winter,Urban,32.97700000000003
Winter,Urban,29.821500000000025
Winter,Urban,30.992000000000026
Winter,Urban,32.002500000000026
Winter,Urban,32.62200000000003
Winter,Urban,33.13350000000003
Winter,Urban,33.09850000000002
Winter,Urban,32.62100000000002
Winter,Urban,32.38650000000003
Winter,Urban,28.834000000000024
Winter,Urban,29.535500000000024
Winter,Urban,30.599500000000024
Winter,Urban,31.815000000000026
Winter,Urban,32.67450000000002
Winter,Urban,33.24250000000004
Winter,Urban,31.831000000000017
Winter,Urban,31.23700000000003
Winter,Urban,32.63650000000003
Winter,Urban,33.32500000000003
Winter,Urban,33.12250000000002
Winter,Urban,32.01500000000003
Winter,Urban,32.65800000000003
Winter,Urban,31.503500000000024
Winter,Urban,32.122000000000035
Winter,Urban,32.79300000000002
Winter,Urban,32.596500000000034
Winter,Urban,29.33400000000003
Winter,Urban,32.27450000000002
Winter,Urban,32.99550000000003
Winter,Urban,31.85500000000001
Winter,Urban,32.182000000000045
Winter,Urban,31.815500000000032
Winter,Urban,30.684000000000033
Winter,Urban,32.746500000000026
Winter,Urban,32.89400000000002
Winter,Urban,32.55950000000003
Winter,Urban,29.64300000000003
Winter,Urban,30.452500000000025
Winter,Urban,31.71550000000003
Winter,Urban,32.17900000000003
Winter,Urban,32.28550000000003
Winter,Urban,32.164000000000044
Winter,Urban,32.42250000000003
Winter,Urban,32.229500000000044
Winter,Urban,31.953000000000024
Winter,Urban,31.64050000000003
Winter,Urban,32.19950000000002
Winter,Urban,32.51000000000003
Winter,Urban,33.177000000000035
Winter,Urban,33.77050000000003
Winter,Urban,32.82150000000002
Winter,Urban,32.03100000000003
Winter,Urban,32.61350000000003
Winter,Urban,32.31700000000002
Winter,Urban,33.66200000000003
Winter,Urban,32.42350000000003
Winter,Urban,31.487000000000016
Winter,Urban,32.571500000000036
Winter,Urban,32.64350000000003
Winter,Urban,32.39450000000003
Winter,Urban,33.436500000000024
Winter,Urban,33.03800000000003
Winter,Urban,32.41800000000004
Winter,Urban,31.132000000000033
Winter,Urban,31.970500000000033
Winter,Urban,32.07850000000002
Winter,Urban,32.554000000000045
Winter,Urban,33.01400000000003
Winter,Urban,32.53500000000004
Winter,Urban,31.856500000000022
Winter,Urban,28.944000000000027
Winter,Urban,30.604500000000037
Winter,Urban,31.557000000000038
Winter,Urban,31.79800000000002
Winter,Urban,32.280500000000025
Winter,Urban,32.23050000000003
Winter,Urban,28.99000000000003
Winter,Urban,30.606500000000032
Winter,Urban,31.47750000000002
Winter,Urban,31.791000000000025
Winter,Urban,31.825500000000034
Winter,Urban,32.25200000000004
Winter,Urban,29.371000000000038
Winter,Urban,30.905500000000035
Winter,Urban,31.798500000000026
Winter,Urban,32.03550000000004
Winter,Rural,30.926500000000015
Winter,Rural,28.857500000000016
Winter,Rural,29.86700000000002
Winter,Rural,30.937500000000036
Winter,Rural,31.74200000000003
Winter,Rural,28.936000000000035
Winter,Rural,30.103000000000037
Winter,Rural,31.248500000000025
Winter,Rural,31.87450000000003
Winter,Rural,32.05250000000002
Winter,Rural,31.030000000000022
Winter,Rural,29.454500000000035
Winter,Rural,30.647000000000027
Winter,Rural,31.391000000000027
Winter,Rural,31.705500000000022
Winter,Rural,31.405500000000025
Winter,Rural,30.227500000000028
Winter,Rural,29.71100000000004
